ProjectId,CityId,LocalityId,ProjectName,BuilderId,BuilderName 
2708,73,6694,Gulmohar Heights,1476,Gulmohar Heights 
274705,269,8045,Avani Asteya,20608,Avani Estates
477,14,5172,Kalpataru Aura,148,Kalpataru Group
2714,22,11580,Adithya Elan,1482,Adithya Constructions
2716,49,1294,Shree Sapphire,580,Shree Shivam Group Builders
202113,19,25285,Borate Vrundavan,6774, 
72775,217,6812,Skyline Bagmane Champagne Hills,7134,Skyline Construction 
2720,27,1490,Anubhav Amrit Green Valley,1484,Anubhav Projects Pvt Ltd.
64206,220,11002,Dharam CGHS,44839,CGHS Group Delhi 
301339,48,7636,Sarovar Landmark,15326,Sarovar Developers 
2724,19,1281,Matrix Meadows,1490,Matrix Infra Estate
2726,49,8057,Devansh Harmonny by Hariom Group,17470,Hari Om Group
9107,95,9012,Aagam Vivianna,31773,Aagam Group Surat
2728,22,414,MJR Gulmohar Avenue,1494,Mjr Infrastructures Builders 
2730,33,6581,Ragam J J Nagar,1496,Ragam Builders 
2732,15,1064,Akshay Kesav Residency,1498,Akshay Infrastructure Builders 
2734,49,8057,Hari Om Holiday Homes,17470,Hari Om Group
2736,222,2274,Stellar Sigma,706,Stellar Spring Projects
2738,9,13304,Wave City,322,Wave Infratech 
11669,177,43372,Manglam Mayfair,86771,Manglam Builders 
2740,269,5244,RR Fazendaa Sai Residencia,1500,RR Associates
2742,269,5208,HSR Amruta Akash,1502,H S R Developers 
2744,269,5164,Ramky Pearl,134,Ramky Builders 
2746,49,6038,Sun Embark,628,SUN Builders 
2748,49,7656,Hari Om Elegance,17470,Hari Om Group
26348,220,6155,Veg Sanchar Apartment,6774, 
2752,274,5001,Virat Residency,1506,Virat Group
2754,34,3694,Kokilam Akshayam,1508,Kokilam Foundations
2756,217,7986,Sai Guru Sundale Villas,1510,Sai Guru Projects
2758,19,835,Kwality Vrindavan Heights,1512,Kwality World Developers 
2760,28,1495,Vedic Sanjeeva Gardens,1514,Vedic Realty Builders
2762,170,7803,DLF Park Place,9,DLF Builders 
2764,269,5164,RK's Prime,1516,Rk Infratech Builders
2766,269,5243,Sri SriSaiBhavani Synergy Estates,1518,Sri Srisaibhavani Estates Gruhanirman Builders 
2768,22,5260,Meenakshi Genasis Meadows,1520,Meenakshi Constructions Builders 
2770,48,7738,Raisun Naiya Paradise,1522,Raison Infracon
2772,19,1281,Shree Manibhadra Rose Wood Park,1320,Shree Manibhadra Group Builders
2774,19,1234,Golden Nest,1524,Golden Bricks Builders 
2776,217,5473,Srinivasa Sai Poorna Premier,1528,Srinivasa Developers 
2778,217,9882,SRK Gardens,1530,Srk Gardens Builders 
2780,34,579,Sabarrisa Varahi Nest,1532,Sabarrisa Homes
2782,7,7867,Panchsheel Pratishtha,270,Panchsheel Group Builders
2784,177,2322,Mahima Panache,1410,Mahima Group Builders
2786,48,7738,Sweemit Kishan Landmark,1534,Sweemit Infrastructure Builders
301601,150,23533,Mahadev Tower,79171,Mahadev Marketing Company
301613,19,1074,Nirwana Arihant Residency,79197,Nirwana Associates 
2790,421,12414,Mark Nautilus,1538,Mark Ventures Builders 
326431,46,15884,Jayde Arjun 226,97958,Jayde Group And Shyam Infra
2792,416,877113,Empire River Villas,1540,Empire Infrabuild Builders 
2794,34,569,Gemma Whispering Villas,1542,Gemma Habitats Builders
2796,222,7868,United Umang City,1536,United Town Planner Builders 
2798,217,12308,Dharani Homes,1544,Dhrarani 
2800,252,2373,Shetty Ankit Vista,1546,Shetty Farms And Resorts 
2802,10,7538,SRS Pearl Heights,191,SRS Group Builders 
2804,264,8957,Aiming High Octagon Vista,1548,Aiming High Infrastructures
2806,217,29243,JR Urbania,11770,JR Housing 
2808,177,5691,Shree Sai Kuteer,1552,Shree Sainath Infratech Pvt Ltd
268337,26,529,Rameshwaram,56855,Ramawati Construction Kolkata
268341,96,9288,Challenge Nysa Skydale,14038,Challenge Infrastructure 
2812,269,5236,Sri Sapthagiri Tirumala Township,1556,Sri Sapthagiri Constructions Builders
2814,19,6120,Mark Celebrations County,1538,Mark Ventures Builders 
273913,2,10220,Gupta and Goel Homes,59867,Gupta and Goel Builders
2816,8,2475,Imperia Rubix,362,Imperia Structures Ltd 
2818,269,5846,Prajay Water Front,2034,Prajay Builders
326347,63,25027,Amrutha Nilayam,6774, 
2824,9,7706,Divyansh Fabio,698,Divyansh Promoters And Developers
2826,275,5190,Ritu Gardenia,1562,Ritu Infrastructure Builders 
2828,8,8877,Antriksh Zeal,1096,The Antriksh Group 
2830,34,566,Palace Homes Sai Jyothiraditya,1564,Palace Homes Builders
310999,456,21119,MHADA Colony,49081,MHADA
2832,34,6625,SM Park View,1566,Sm Foundations Builders
2834,8,7497,Spire Condominiums,1568,Spire World Builders 
2836,34,677,Oliyas Diamond,432,Oliyas Construction
2838,217,11700,Pariwar Pendant,758,Pariwar Properties Builders
2840,218,4976,Nirman Green Acres,1574,Nirman Realtors Builders 
276839,15,1433,Triace Palm Beach City,49377,Triace Group 
2842,22,28637,Vishnu Parimala Sunridge,1576,Vishnu Priya Group Builders
271749,27,3454,Capricorn Amrapali Dhir,16222,Capricorn Group
2844,274,6162,Nirman Nano City,1574,Nirman Realtors Builders 
2846,7,124,Wave City Center,322,Wave Infratech 
269061,19,826,Vistaar Shubharambh,57339,Vistaar Realty 
2848,21,5315,Terracon Sai Enclave,1578,Terracon Land Developers 
291691,199,16280,ADA Saras Vihar Phase 1,49229,Allahabad Development Authority
2850,268,2660,Nature Avenues Platinum City,477,Nature Avenues Builders
296819,479,46867,Shantipuram Apartments,70865,Madhya Pradesh Housing and Infrastructure Developm 
2852,36,3704,Shree Subhiksha Housing,1580,Subhiksha Housing
2854,22,368,Durga Srees Tanishq Arena,1584,Durga Sree Builders And Developers 
2856,444,2925,Classic Eakambareswarar Nagar,1586,Classic Estates
2858,275,17404,Pragati Rajhans Kshitij,50353,Pragati Infrastructure 
2860,22,372,Royal Fountain Square,998,Royal Construction Builders
2864,252,6770,DRA Ranka Aquagreens,1590,DRA Projects Builders
2866,254,9040,Mridul Pine Oak Paradise,1592,Mridul Buildtech Builders
254879,19,1259,Hamy Chambers,23997,Hamy Group 
276167,151,16102,Suyojit Covai,72695,Unknown1 
2868,218,4963,Nirman Landmark,1574,Nirman Realtors Builders 
2870,34,566,Athreya Sahishnu,1600,Athreya Homes
